,Country Name,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
253,Indonesia,2018,1040000000000.0,3.818323569,14236.93877,38.81758144,4.39,-12510610514.0
254,Lao PDR,2018,18141651381.0,1.919889194,8401.334766,98.6512779569836,3.308,-1358019506.0
255,Malaysia,2018,359000000000.0,0.624674675,4.035130137,125.0778647,3.3,-2539145749.0
256,Myanmar,2018,67855845007.0,5.34109464,1429.807975,54.5606988,0.77,-1768195523.0
257,Philippines,2018,347000000000.0,3.740653831,52.66142995,74.51518725,2.34,-5832900584.0
258,Singapore,2018,377000000000.0,3.534650755,1.348841667,118.5630253,3.606,-58349843384.0
259,Thailand,2018,507000000000.0,1.428586164,32.31022574,122.8194084,0.77,3380091961.0
260,Viet Nam,2018,310000000000.0,3.6266473,22602.05,108.5349052,1.16,-14902000000.0
261,China,2018,13900000000000.0,3.499747636,6.615957177,195.0358759,4.31,-92338473352.0
262,Japan,2018,5040000000000.0,-0.000237506,110.4231793,248.1256763,2.47,135000000000.0
263,"Korea, Rep.",2018,1730000000000.0,0.482948983,1100.163333,142.2596611,3.82,26037800000.0
264,India,2018,2700000000000.0,3.884240279,68.38946709,74.0978246,7.65,-30699661201.0
265,Uzbekistan,2018,52870108217.0,26.92239538,8069.606237,19.58685548,5.379,-622886824.4
266,Qatar,2018,183000000000.0,12.41440353,3.64,84.51593628,0.11,5709065934.0
267,United States,2018,20500000000000.0,2.404058593,1.0,89.3303889,3.9,-345000000000.0
268,United Kingdom,2018,2870000000000.0,1.922052394,0.74953154,148.0237457,4.0,-3576693950.0
269,France,2018,2790000000000.0,0.992224566,2450.739405212136,98.6512779569836,9.02,61682963435.0
270,Russian Federation,2018,1660000000000.0,9.997976711,62.66813333,59.11861639,4.85,22592030000.0
271,Germany,2018,3970000000000.0,2.007492441,2450.739405212136,98.6512779569836,3.38,29011101779.0
272,Australia,2018,1430000000000.0,1.878810435,1.338412146,113.792564,5.3,-59654884661.0
273,Hungary,2018,161000000000.0,4.847425392,270.2116667,59.07367602,3.71,-3531634246.0
274,Ireland,2018,387000000000.0,1.120032236,2450.739405212136,98.6512779569836,5.74,27441629241.0
